Brand,Price,Rating,Image,Link
colorful handwoven sisal African basket is a stunning example of traditional craftsmanship and vibrant artistry,3500,(0),,https://www.kilimall.co.ke//listing/1000339735-colorful-handwoven-sisal-african-basket-is-a-stunning-example-of-traditional-craftsmanship-and-vibrant-artistry?skuId=10001180779
Advanced Learners Dictionary 10th Edition For SchoolsEasy to use Contains examples in sentences Gives elaborate illustrations Recommended for schools,2999,(0),,https://www.kilimall.co.ke//listing/2902490-advanced-learners-dictionary-10th-edition-for-schoolseasy-to-use-contains-examples-in-sentences-gives-elaborate-illustrations-recommended-for-schools?skuId=19554404
"Books Beginner's Dictionary English- 27 major themes - more than 1,800 English words and their Kiswahili translations - Noun plurals - Simple example sentences in both English and Kiswahili - More th",5080,(0),,https://www.kilimall.co.ke//listing/2878591-books-beginners-dictionary-english-27-major-themes-more-than-1800-english-words-and-their-kiswahili-translations-noun-plurals-simple-example-sentences-in-both-english-and-kiswahili-more-th?skuId=19485393
"Books Oxford Basic English DictionaryWhat's in this dictionary 19,000 British and American words and phrases explained in easy language 13,000 examples help you use the words correctly 400 illustrati",3798,(0),,https://www.kilimall.co.ke//listing/2895420-books-oxford-basic-english-dictionarywhats-in-this-dictionary-19000-british-and-american-words-and-phrases-explained-in-easy-language-13000-examples-help-you-use-the-words-correctly-400-illustrati?skuId=19531385
"Informative Detailed Student’s Dictionary Of EnglishOver 52,000 words, phrases and meanings in British and American English with curricular words highlighted Over 30,000 example sentences show how wor",2599,(0),,https://www.kilimall.co.ke//listing/2902513-informative-detailed-students-dictionary-of-englishover-52000-words-phrases-and-meanings-in-british-and-american-english-with-curricular-words-highlighted-over-30000-example-sentences-show-how-wor?skuId=19554500
"Oxford Basic English DictionaryWhat's in this dictionary 19,000 British and American words and phrases explained in easy language 13,000 examples help you use the words correctly 400 illustrations and",3570,(0),,https://www.kilimall.co.ke//listing/2925623-oxford-basic-english-dictionarywhats-in-this-dictionary-19000-british-and-american-words-and-phrases-explained-in-easy-language-13000-examples-help-you-use-the-words-correctly-400-illustrations-and?skuId=19619250
"flower-decorated pocket locket watch is a stunning example of artistry and craftsmanship, blending timeless elegance with botanical beauty",2500,(0),,https://www.kilimall.co.ke//listing/1000269093-flowerdecorated-pocket-locket-watch-is-a-stunning-example-of-artistry-and-craftsmanship-blending-timeless-elegance-with-botanical-beauty?skuId=10000870335
Pioneer TS-WX130EA 160W Active Under Seat Subwoofer.Flat active subwoofer 160watts underseal subwoofer Easy to install for example under the seat Built-in amplifier Frequency response 40 to 200 Hz,43200,(0),,https://www.kilimall.co.ke//listing/2894610-pioneer-tswx130ea-160w-active-under-seat-subwooferflat-active-subwoofer-160watts-underseal-subwoofer-easy-to-install-for-example-under-the-seat-builtin-amplifier-frequency-response-40-to-200-hz?skuId=19528365
"power extension 4 way astra with a long 3m cable long durable and strong to be used with an iron box and strong appliances for example tv,fridge ,laptops and other electricals in the household",555,(4),,https://www.kilimall.co.ke//listing/2355405-power-extension-4-way-astra-with-a-long-3m-cable-long-durable-and-strong-to-be-used-with-an-iron-box-and-strong-appliances-for-example-tvfridge-laptops-and-other-electricals-in-the-household?skuId=17522391
"Sokany Meat Mincer 2500Watts It replaces tools like mincing knife for example, which has been used to produce minced meat, filling etc. The screw conveyor that can be powered by electricity motors or",5075,(0),,https://www.kilimall.co.ke//listing/1000168874-sokany-meat-mincer-2500watts-it-replaces-tools-like-mincing-knife-for-example-which-has-been-used-to-produce-minced-meat-filling-etc-the-screw-conveyor-that-can-be-powered-by-electricity-motors-or?skuId=10000427779
"Manual meat mincer electric Electric CommercialMeat Mincer A meat mincer or meat grinder is a butchery and kitchen appliance used for fine chopping (mincing) or mixing of raw or cooked meat, fish, vegetables or similar foods. It replaces tools like mincing knife for example, which has been used to produce minced meat, filling etc. The screw conveyor that can be powered by electricity motors or by a hand",1980,(0),,https://www.kilimall.co.ke//listing/1000086336-manual-meat-mincer-electric-electric-commercialmeat-mincer-a-meat-mincer-or-meat-grinder-is-a-butchery-and-kitchen-appliance-used-for-fine-chopping-mincing-or-mixing-of-raw-or-cooked-meat-fish-vegetables-or-similar-foods-it-replaces-tools-like-mincing-knife-for-example-which-has-been-used-to-produce-minced-meat-filling-etc-the-screw-conveyor-that-can-be-powered-by-electricity-motors-or-by-a-hand?skuId=10000181769
