Name,Price,Rating,Link,Image
Beyond Glamour Africa The flower-decorated pocket locket watch is a stunning example of artistry and craftsmanship,2500,No Ratings,https://www.jumia.co.ke/beyond-glamour-africa-the-flower-decorated-pocket-locket-watch-is-a-stunning-example-of-artistry-and-craftsmanship-267308234.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2803762/1.jpg?8956
Beyond Glamour Africa The flower-decorated pocket locket watch is a stunning example of artistry and craftsmanship,2500,No Ratings,https://www.jumia.co.ke/beyond-glamour-africa-the-flower-decorated-pocket-locket-watch-is-a-stunning-example-of-artistry-and-craftsmanship-267308196.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/1803762/1.jpg?8954
"Bao You's New Nine Body Calligraphy Practical Dictionary, Official Script, Seal Script, Regular Script, Wei Stele Brush, Example",3164,No Ratings,https://www.jumia.co.ke/generic-bao-yous-new-nine-body-calligraphy-practical-dictionary-official-script-seal-script-regular-script-wei-stele-brush-example-292325648.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/6523292/1.jpg?9644
A6 Arduino IDE ESPHome Relay Board Enables DIY Program Example Source Code Provide MQTT Raspberry PI Communications RS485 I2C,5965,No Ratings,https://www.jumia.co.ke/generic-a6-arduino-ide-esphome-relay-board-enables-diy-program-example-source-code-provide-mqtt-raspberry-pi-communications-rs485-i2c-274160254.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/2061472/1.jpg?2860
A6 Arduino IDE ESPHome Relay Board Enables DIY Program Example Source Code Provide MQTT Raspberry PI Communications RS485 I2C,7297,No Ratings,https://www.jumia.co.ke/generic-a6-arduino-ide-esphome-relay-board-enables-diy-program-example-source-code-provide-mqtt-raspberry-pi-communications-rs485-i2c-274160600.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/6061472/1.jpg?2353
10 Bit 16-seg Spi Led Display Serial Lcd Uno Mega2560 With Arduino Example Sketch,4987,No Ratings,https://www.jumia.co.ke/generic-10-bit-16-seg-spi-led-display-serial-lcd-uno-mega2560-with-arduino-example-sketch-244734580.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/5437442/1.jpg?2485
Probability: Theory and Examples 5th,4581,No Ratings,https://www.jumia.co.ke/generic-probability-theory-and-examples-5th-173469001.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/0964371/1.jpg?0049
Probability Theory And Examples By Rick Durrett,7040,No Ratings,https://www.jumia.co.ke/generic-probability-theory-and-examples-by-rick-durrett-173822352.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/3228371/1.jpg?2565
Japanese Flashcards Beginners Sets Example Words For Grade,1316,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840TG2H8H4HNAFAMZ-205299063&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8812651/1.jpg?9113
"Bao You's New Nine Body Calligraphy Practical Dictionary, Official Script, Seal Script, Regular Script, Wei Stele Brush, Example",3267,No Ratings,https://www.jumia.co.ke/generic-bao-yous-new-nine-body-calligraphy-practical-dictionary-official-script-seal-script-regular-script-wei-stele-brush-example-270745896.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/8547072/1.jpg?2417
Remote Control for for Example 2.1 Home Theater System,3171,No Ratings,https://www.jumia.co.ke/generic-remote-control-for-for-example-2.1-home-theater-system-267579802.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/8975762/1.jpg?9890
"Simplistic Oxford Quilt Storage Bag - For example, with cover L(51L)",2934,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD3OEL75NAFAMZ-430874495&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/3899692/1.jpg?3340
"Simplistic Oxford Quilt Storage Bag - For example, M(36L) with cover",2775,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD3GWIZ5NAFAMZ-430875214&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/7899692/1.jpg?3289
"Simplistic Oxford Quilt Storage Bag - For example, no cover M(24L)",2553,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD49NRHTNAFAMZ-430874212&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/0899692/1.jpg?3366
"Freenove ESP32-WROOM Board (Compatible with Arduino IDE), Onboard Wireless, Python C Code, Detailed Tutorial, Example",5347,No Ratings,https://www.jumia.co.ke/generic-freenove-esp32-wroom-board-compatible-with-arduino-ide-onboard-wireless-python-c-code-detailed-tutorial-example-273637265.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2736372/1.jpg?9583
"Freenove ESP32-WROOM Board (Compatible with Arduino IDE), Onboard Wireless, Python C Code, Detailed Tutorial, Example",5347,No Ratings,https://www.jumia.co.ke/generic-freenove-esp32-wroom-board-compatible-with-arduino-ide-onboard-wireless-python-c-code-detailed-tutorial-example-272971167.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/1179272/1.jpg?5710
"Simplistic Oxford Quilt Storage Bag - For example, with cover S(25L)",2698,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD3LB4UPNAFAMZ-430874319&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/1899692/1.jpg?3355
"Simplistic Oxford Quilt Storage Bag - For example, no cover S(15L)",2517,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD42GF2PNAFAMZ-430875394&return=%2Fcatalog%2F%3Fq%3Dexample%26page%3D1,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/9899692/1.jpg?3270
"Freenove ESP32-WROOM Board , Onboard Wireless, Python C Code, Detailed Tutorial, Example Projects",2791,No Ratings,https://www.jumia.co.ke/generic-freenove-esp32-wroom-board-onboard-wireless-python-c-code-detailed-tutorial-example-projects-297230483.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/4032792/1.jpg?3753
"Freenove ESP32-WROOM Board , Onboard Wireless, Python C Code, Detailed Tutorial, Example Projects",1052,No Ratings,https://www.jumia.co.ke/generic-freenove-esp32-wroom-board-onboard-wireless-python-c-code-detailed-tutorial-example-projects-297230930.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/9032792/1.jpg?3729
